Genes,GSM458594,GSM458595,GSM458596,GSM458597,GSM458598,GSM458599,GSM458600,GSM458601
10338058,1.75966518,1.817237737,1.836791543,1.98550315,1.754926016,2.047906903,1.881415294,1.869094505
10338059,12.9268797,12.89695711,13.04382993,12.84671981,12.81450806,13.04527206,12.68773893,12.76608994
10338060,4.033677075,4.425630799,4.202375968,4.867077895,4.232305879,4.280893073,4.458876851,4.468135359
10338061,6.23426481,6.399649786,5.876662496,6.429338215,6.398593299,6.35029587,6.334502055,6.313091901
10338062,8.806149858,8.675600996,8.476978633,8.702823116,8.736870123,8.844558574,8.604921329,8.594916535
10338063,3.474458018,3.692517301,3.660908814,3.835779313,3.559706255,3.622237517,3.656527864,3.675690583
10338064,5.718288632,6.756033272,6.436319385,7.146854439,6.264487421,6.435970366,6.649790947,6.72013181
10338065,6.236496109,7.056638726,6.723952425,7.562806382,6.659015218,6.778529916,7.063401285,7.121591918
10338066,4.782706448,5.702296256,5.320326252,6.448916374,5.310026075,5.37677882,5.789514022,5.789757874
10338067,7.869480281,8.36313524,8.319201478,8.73361292,8.002306326,8.121709934,8.292401371,8.33442199
10338068,7.030541087,6.871075728,7.326848163,6.524371714,6.283968998,6.720403181,6.680433241,7.098102766
10338069,4.541143989,4.266312212,4.645007773,4.0694512,3.907813274,4.600191978,4.697922118,4.5732188
10338070,3.722700094,3.46709397,3.46252287,2.877347339,3.462218882,3.557504139,3.173877059,3.97996645
10338071,2.96581496,2.849486887,3.042114454,2.794825514,2.997217913,3.490045833,3.486039164,4.673672654
10338072,4.152655149,3.92868532,4.135675083,4.305368515,4.221778032,4.535563325,4.351656818,4.644419274
10338073,5.280800122,4.222028613,5.64339655,4.262953479,4.278944662,4.587470728,4.773961665,4.271586205
10338074,8.489039191,8.769016146,8.381886868,8.398539187,8.62713662,8.242883057,8.509185955,8.397682593
10338075,5.952358683,6.177017918,5.399471161,7.010045169,6.318551104,6.346688905,6.184119907,6.520257134
10338076,5.277972782,5.895859097,6.678047452,6.132024257,6.149334113,5.955359329,6.162123936,5.962682752
10338077,8.724229772,9.135142958,8.715746778,9.262232157,9.268343331,9.017814194,9.495805818,9.321709865
10338078,4.885918055,3.966373706,4.83209983,4.024635406,3.53578788,5.134910512,4.852061627,5.188510903
10338079,4.309890792,4.112805621,4.121483115,3.040524155,3.705807336,4.206525492,3.557653884,3.460528092
10338080,5.397961198,4.91108079,5.092958348,4.936693352,5.162411786,4.598131378,4.817596136,5.356005703
10338081,6.410562284,5.193287971,6.485965749,5.622926663,4.946567733,5.607041517,5.031852132,5.281656929
10338082,6.502287426,5.936495794,6.40933078,5.548325962,6.338133053,5.957151024,5.589572852,5.717240842
10338083,2.149988548,2.050745455,2.74982317,2.508589192,3.084948188,3.230282279,2.807558251,3.115027879
10338084,4.841596723,4.88914872,4.852104643,4.383321885,5.068273262,4.858989777,5.313344783,4.892229069
10338085,8.958784548,9.379053973,9.134905545,9.490993697,9.471504617,9.316040199,9.259708964,9.050281593
10338086,5.150608286,4.23553077,5.308909896,4.232535345,4.646974856,4.075136247,4.616113779,4.901878052
10338087,5.274701877,4.418973169,5.864813208,4.247099006,5.31170315,4.829050682,5.316761487,5.697965928
10338088,2.336595837,2.326044365,2.622820981,2.397791794,2.509152573,2.812555821,2.434199553,2.279705857
10338089,2.880123507,3.40043326,3.743459052,4.289869662,3.053078369,2.906712608,3.418562656,3.322868193
10338090,6.660355969,6.249105513,6.50694166,5.857968613,6.446333241,5.939088083,6.333052957,6.619628953
10338091,4.074146882,3.896806488,4.310007986,4.062666532,3.920850433,4.088324129,4.64496765,4.164821746
10338092,6.359249458,5.821286291,6.37749451,5.747598722,5.643322108,5.348288342,5.542672256,5.755741625
