"","GSM4978121","GSM4978122","GSM4978123","GSM4978124","GSM4978125","GSM4978126","GSM4978127","GSM4978128","GSM4978129","GSM4978130","GSM4978131","GSM4978132","GSM4978133","GSM4978134"
"ASCRP001174",6.082005007,6.225763637,6.290324024,6.601637471,6.266953082,6.324387793,6.145759051,6.064538075,6.186910319,6.185495986,6.724728199,6.134948592,6.194376976,6.256083285
"ASCRP001176",6.407240962,7.787862594,6.698724274,6.3165192,6.337079692,6.251390817,6.213990412,6.255731712,6.246344967,6.395536892,6.147705866,6.890714994,6.413205196,6.608731436
"ASCRP001177",6.228263663,6.17240561,6.1271987,5.899866095,7.704024402,7.796208958,7.530934713,7.4301383,8.225413909,8.036361129,7.631910935,9.121481572,7.539740844,7.853727916
"ASCRP001179",6.410222737,6.70695492,6.727397084,7.284404937,6.364971908,6.445228008,6.327044249,6.073513076,6.318717427,6.347670607,6.928501464,6.624573138,6.498060292,6.523654697
"ASCRP001180",6.986318361,7.152424435,7.013253767,7.020261117,7.370565834,7.376660883,7.561912893,6.733969053,7.392716943,7.242189712,8.11695755,7.267193515,7.251579706,7.172987528
"ASCRP001182",7.047539476,7.224716672,7.194063824,6.792408791,7.740845805,7.690459717,8.127346811,7.086274156,8.153054518,7.658044595,8.348903343,7.591082633,7.800041486,7.416692109
"ASCRP001183",6.258630516,6.142234484,6.185576427,6.281354682,6.575777281,6.241776025,6.110927451,6.290737724,6.31831553,6.306294244,6.069132112,6.42408609,6.215723951,6.166421294
"ASCRP001186",6.121578839,5.973370506,6.031505406,6.166741102,6.289571178,6.234657992,6.124933411,5.952042256,6.047263942,6.09555376,5.9679025,6.156046674,6.06648448,6.255047903
"ASCRP001189",6.749574595,7.068279332,6.840433635,6.821893409,6.54868915,6.857056001,6.759229027,7.044596508,7.633613668,7.018306549,6.316257972,8.050964653,7.038588863,7.072454631
"ASCRP001193",5.966618686,5.906165154,5.891966558,5.934639629,6.208669901,6.075312845,6.018480591,6.173992594,6.194254595,6.211830161,6.05801656,6.564168448,6.310522385,6.35987607
